"job_work_from_home","job_posted_date","job_no_degree_mention","job_health_insurance","salary_year_avg","salary_hour_avg","search_location","salary_rate","job_title_short","job_title","job_location","job_via","job_schedule_type","job_country","company_id","count"
"","2023-08-26 06:38:50","","","","","Peru","","Software Engineer","Software Engineer","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
"","2023-08-29 07:40:59","","","","","Peru","","Software Engineer","IT Engineer","Lima, Peru","via BeBee","Full-time","Peru",572,"2"
"","2023-08-30 07:23:52",1,"","","","Peru","","Data Analyst","Data Analyst","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
"","2023-08-30 07:24:01","","","","","Peru","","Business Analyst","Business Analyst","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"3"
"","2023-08-30 07:24:08","","","","","Peru","","Data Scientist","Data Scientist","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
"","2023-08-30 07:24:45","","","","","Peru","","Software Engineer","Software Engineer","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
"","2023-08-30 07:24:49",1,"","","","Peru","","Software Engineer","DevOps Engineer","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
"","2023-08-30 07:42:52","","","","","Argentina","","Data Scientist","Data Scientist","Buenos Aires, Argentina","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Argentina",572,"2"
"","2023-08-30 07:43:02","","","","","Argentina","","Data Analyst","Data Analyst","Buenos Aires, Argentina","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Argentina",572,"2"
"","2023-08-30 07:43:02",1,"","","","Argentina","","Data Analyst","Data Analyst","Buenos Aires, Argentina","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Argentina",572,"2"
"","2023-08-30 07:43:14",1,"","","","Argentina","","Data Engineer","Data Engineer","Buenos Aires, Argentina","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Argentina",572,"2"
"","2023-08-31 10:46:41","","","","","Peru","","Business Analyst","Business Analyst","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
"","2023-08-31 10:46:41",1,"","","","Peru","","Data Engineer","Data Engineer","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
"","2023-08-31 10:47:10",1,"","","","Peru","","Software Engineer","Software Engineer C+","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
"","2023-08-31 12:03:45","","","","","Argentina","","Data Engineer","Data Engineer","Buenos Aires, Argentina","via BeBee","Full-time","Argentina",572,"2"
"","2023-09-01 07:56:54",1,"","","","Argentina","","Software Engineer","Solutions Engineer","Córdoba, Córdoba Province, Argentina","via BeBee","Full-time","Argentina",572,"2"
"","2023-09-02 07:34:08","","","","","Peru","","Business Analyst","Business Analyst","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"4"
"","2023-09-02 07:34:42","","","","","Peru","","Software Engineer","Software Engineer","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
"","2023-09-03 06:30:25",1,"","","","Peru","","Software Engineer","Software Engineer","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
"","2023-09-05 07:16:49","","","","","Peru","","Data Scientist","Data Scientist","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
"","2023-09-06 07:28:56",1,"","","","Peru","","Data Engineer","Data Engineer","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
"","2023-09-06 08:29:19",1,"","","","Peru","","Data Engineer","Data Engineer","Lima, Peru","via BeBee","Full-time","Peru",572,"2"
"","2023-09-09 06:21:00",1,"","","","Peru","","Data Engineer","Data Engineer","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
"","2023-09-14 07:22:29","","","","","Argentina","","Data Scientist","Data Scientist","Buenos Aires, Argentina","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Argentina",572,"2"
"","2023-09-14 07:22:34",1,"","","","Argentina","","Data Engineer","Data Engineer","Buenos Aires, Argentina","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Argentina",572,"2"
"","2023-09-17 07:21:48",1,"","","","Argentina","","Data Engineer","Data Engineer","Buenos Aires, Argentina","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Argentina",572,"2"
"","2023-09-22 08:45:52","","","","","Peru","","Data Analyst","Data Analyst","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
"","2023-10-04 07:31:13","","","","","Argentina","","Data Scientist","Data Scientist","Buenos Aires, Argentina","via BeBee","Full-time","Argentina",572,"2"
"","2023-10-05 07:26:55","","","","","Peru","","Data Scientist","Data Scientist","Lima, Peru","via BeBee","Full-time","Peru",572,"2"
"","2023-10-06 07:24:06","","","","","Peru","","Data Scientist","Data Scientist","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
"","2023-10-06 07:24:13",1,"","","","Peru","","Data Engineer","Data Engineer","Lima, Peru","via BeBee","Full-time","Peru",572,"2"
"","2023-10-10 06:52:47",1,"","","","Argentina","","Data Engineer","Data Engineer","Buenos Aires, Argentina","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Argentina",572,"2"
"","2023-10-10 07:27:08","","","","","Peru","","Senior Data Scientist","Senior Data Scientist","Lima, Peru","via BeBee","Full-time","Peru",572,"2"
"","2023-10-11 12:12:07",1,"","","","Peru","","Data Engineer","Data Engineer Exp","Lima, Peru","via BeBee","Full-time","Peru",572,"2"
"","2023-10-11 12:12:15","","","","","Peru","","Software Engineer","Full Stack Engineer","Lima, Peru","via BeBee","Full-time","Peru",572,"2"
"","2023-10-12 07:32:37","","","","","Peru","","Software Engineer","Engineer I","Lima, Peru","via BeBee","Full-time","Peru",572,"2"
